created_at,entry_id,field1
2025-02-17 13:59:00 UTC,1,72.79319
2025-02-17 14:00:14 UTC,2,68.83463
2025-02-17 14:01:12 UTC,3,63.29721
2025-02-17 14:01:44 UTC,4,66.33318
2025-02-17 14:02:45 UTC,5,81.36226
2025-02-17 14:03:46 UTC,6,72.52763
2025-02-17 14:05:58 UTC,7,77.63446
2025-02-17 14:06:59 UTC,8,67.95706
2025-02-17 14:07:28 UTC,9,60.25866
2025-02-17 14:07:59 UTC,10,69.05753
2025-02-17 14:08:31 UTC,11,68.39477
2025-02-17 14:08:58 UTC,12,56.80172
2025-02-17 14:09:27 UTC,13,69.90257
2025-02-17 14:15:45 UTC,14,61.69611
2025-02-17 14:16:15 UTC,15,59.76351
2025-02-17 14:16:45 UTC,16,62.61492
2025-02-17 14:17:12 UTC,17,73.80879
2025-02-17 14:17:44 UTC,18,60.68426
2025-02-17 14:18:15 UTC,19,62.08590
2025-02-17 14:18:47 UTC,20,65.63856
2025-02-17 14:19:14 UTC,21,62.74762
2025-02-17 14:19:49 UTC,22,63.71612
2025-02-17 14:20:46 UTC,23,59.71262
2025-02-17 14:21:47 UTC,24,61.75867
2025-02-17 14:22:17 UTC,25,67.19013
2025-02-17 14:22:46 UTC,26,57.33341
2025-02-17 14:23:19 UTC,27,60.98074
2025-02-17 14:23:47 UTC,28,63.36826
2025-02-17 14:24:18 UTC,29,57.80743
2025-02-17 14:24:48 UTC,30,69.80076
2025-02-17 14:25:18 UTC,31,63.24359
