created_at,entry_id,field1
2025-02-17 14:13:20 UTC,1,56.34789
2025-02-17 14:14:31 UTC,2,54.93061
2025-02-17 14:15:01 UTC,3,65.19147
2025-02-17 14:16:02 UTC,4,65.94413
2025-02-17 14:16:33 UTC,5,68.62758
2025-02-17 14:17:03 UTC,6,72.97768
2025-02-17 14:17:33 UTC,7,68.40546
2025-02-17 14:18:03 UTC,8,62.26537
2025-02-17 14:18:33 UTC,9,65.86172
2025-02-17 14:19:04 UTC,10,52.78115
2025-02-17 14:19:34 UTC,11,58.60786
2025-02-17 14:20:05 UTC,12,49.12655
2025-02-17 14:20:35 UTC,13,53.61292
2025-02-17 14:21:05 UTC,14,56.73323
2025-02-17 14:21:35 UTC,15,51.59055
2025-02-17 14:22:05 UTC,16,49.27254
2025-02-17 14:22:36 UTC,17,58.28946
2025-02-17 14:23:06 UTC,18,55.13428
2025-02-17 14:23:36 UTC,19,60.01415
2025-02-17 14:24:06 UTC,20,57.03783
2025-02-17 14:24:37 UTC,21,56.73323
2025-02-17 14:25:06 UTC,22,57.30099
2025-02-17 14:25:37 UTC,23,60.25866
2025-02-17 14:26:07 UTC,24,51.98497
2025-02-17 14:26:38 UTC,25,51.81784
2025-02-17 14:27:09 UTC,26,56.97094
2025-02-17 14:27:39 UTC,27,69.34397
2025-02-17 14:28:09 UTC,28,57.33341
2025-02-17 14:28:40 UTC,29,55.45177
2025-02-17 14:29:10 UTC,30,51.41663
2025-02-17 14:29:40 UTC,31,60.54440
2025-02-17 14:30:10 UTC,32,52.41747
2025-02-17 14:30:40 UTC,33,58.31882
2025-02-17 14:31:11 UTC,34,59.18894
2025-02-17 14:31:41 UTC,35,58.20083
2025-02-17 14:32:11 UTC,36,64.63029
2025-02-17 14:32:41 UTC,37,79.45555
2025-02-17 14:33:12 UTC,38,67.74224
2025-02-17 14:33:42 UTC,39,65.49651
2025-02-17 14:34:14 UTC,40,65.36691
2025-02-17 14:34:43 UTC,41,67.56932
