created_at,entry_id,field1
2025-02-17 14:04:56 UTC,1,58.69297
2025-02-17 14:05:25 UTC,2,67.69642
2025-02-17 14:05:54 UTC,3,79.06179
2025-02-17 14:06:42 UTC,4,62.08590
2025-02-17 14:07:12 UTC,5,66.82108
2025-02-17 14:08:13 UTC,6,81.45260
2025-02-17 14:09:48 UTC,7,79.21535
2025-02-17 14:18:27 UTC,8,66.69498
2025-02-17 14:18:57 UTC,9,52.14936
2025-02-17 14:19:27 UTC,10,44.99810
2025-02-17 14:19:58 UTC,11,53.18120
2025-02-17 14:20:28 UTC,12,50.30438
2025-02-17 14:20:59 UTC,13,50.49856
2025-02-17 14:21:29 UTC,14,47.79123
2025-02-17 14:21:59 UTC,15,56.16771
2025-02-17 14:22:30 UTC,16,53.27876
2025-02-17 14:23:00 UTC,17,64.53625
2025-02-17 14:23:31 UTC,18,56.52489
2025-02-17 14:24:01 UTC,19,59.37536
2025-02-17 14:24:31 UTC,20,57.71441
2025-02-17 14:25:01 UTC,21,56.69881
2025-02-17 14:25:31 UTC,22,53.47107
2025-02-17 14:26:01 UTC,23,47.95791
2025-02-17 14:26:31 UTC,24,53.47107
2025-02-17 14:27:02 UTC,25,58.46439
2025-02-17 14:27:32 UTC,26,66.84612
2025-02-17 14:28:03 UTC,27,61.86209
2025-02-17 14:28:32 UTC,28,52.83204
2025-02-17 14:29:02 UTC,29,47.00481
2025-02-17 14:29:33 UTC,30,39.12023
2025-02-17 14:30:03 UTC,31,66.85861
