created_at,entry_id,field1
2025-02-17 13:51:33 UTC,1,67.49931
2025-02-17 13:52:03 UTC,2,67.32211
2025-02-17 13:52:33 UTC,3,74.21178
2025-02-17 13:53:04 UTC,4,71.82352
2025-02-17 13:53:33 UTC,5,76.98483
2025-02-17 13:54:48 UTC,6,68.60664
2025-02-17 13:55:18 UTC,7,61.96444
2025-02-17 13:55:48 UTC,8,69.30495
2025-02-17 13:56:19 UTC,9,65.39586
2025-02-17 13:57:20 UTC,10,64.83108
2025-02-17 13:57:50 UTC,11,70.11214
2025-02-17 13:58:51 UTC,12,66.45091
2025-02-17 13:59:21 UTC,13,66.33318
2025-02-17 13:59:52 UTC,14,60.93570
2025-02-17 14:00:22 UTC,15,74.55877
2025-02-17 14:00:53 UTC,16,60.01415
2025-02-17 14:01:23 UTC,17,84.45482
2025-02-17 14:01:54 UTC,18,70.85065
2025-02-17 14:02:24 UTC,19,71.48346
2025-02-17 14:02:55 UTC,20,77.74435
2025-02-17 14:03:25 UTC,21,52.73000
2025-02-17 14:03:55 UTC,22,60.40255
2025-02-17 14:04:26 UTC,23,66.88354
2025-02-17 14:04:55 UTC,24,81.18207
2025-02-17 14:05:26 UTC,25,64.73891
2025-02-17 14:05:56 UTC,26,83.70547
2025-02-17 14:06:26 UTC,27,76.50645
2025-02-17 14:06:56 UTC,28,64.21622
2025-02-17 14:07:27 UTC,29,76.94848
2025-02-17 14:07:58 UTC,30,68.29794
2025-02-17 14:08:27 UTC,31,86.14501
2025-02-17 14:09:14 UTC,32,80.39158
2025-02-17 14:09:43 UTC,33,69.68851
2025-02-17 14:10:14 UTC,34,79.49091
2025-02-17 14:10:44 UTC,35,79.00266
2025-02-17 14:16:06 UTC,36,52.83204
2025-02-17 14:16:35 UTC,37,52.36442
2025-02-17 14:17:05 UTC,38,57.77652
2025-02-17 14:20:06 UTC,39,49.97212
2025-02-17 14:20:36 UTC,40,48.36282
2025-02-17 14:21:06 UTC,41,50.68904
2025-02-17 14:21:36 UTC,42,52.20356
2025-02-17 14:22:07 UTC,43,49.12655
2025-02-17 14:22:37 UTC,44,55.13428
2025-02-17 14:23:07 UTC,45,50.17280
2025-02-17 14:23:38 UTC,46,55.79730
2025-02-17 14:24:08 UTC,47,49.34474
2025-02-17 14:24:38 UTC,48,49.19981
2025-02-17 14:25:08 UTC,49,48.67535
2025-02-17 14:25:38 UTC,50,44.88636
2025-02-17 14:26:09 UTC,51,49.05275
2025-02-17 14:26:40 UTC,52,53.03305
2025-02-17 14:27:09 UTC,53,49.90433
2025-02-17 14:27:40 UTC,54,64.08529
2025-02-17 14:28:10 UTC,55,56.05802
2025-02-17 14:28:40 UTC,56,55.37334
